Handmade catalog of Pulsars outside SNRs from the ATNF
#, NAME, P0 (s), P1
88, J0214+5222, slr+14, 0.02457529479071, 22, slr+14, 2.99E-19, 10, slr+14 
89, J0215+6218, llc98, 0.548879819155, 3, hlk+04, 6.6212E-16, 3, hlk+04 
90, J0218+4232, nbf+95, 0.00232309053151224, 8, dcl+16, 7.73955E-20, 7, dcl+16 

91, J0227+3356, dcm+23, 1.240102460176, 4, dcm+23, 2.8515E-15, 11, dcm+23 
92, B0226+70, dtws85, 1.466820306152, 7, hlk+04, 3.10998E-15, 7, hlk+04 
93, J0248+4230, brj+21, 0.0026008347856317, 3, brj+21, 1.6873E-20, 5, brj+21 
94, J0248+6021, tpc+11, 0.217094, 5, tpc+11, 5.509E-14, 5, tpc+11 
95, J0250+5854, tbc+18, 23.535378476, 1, tbc+18, 2.716E-14, 7, tbc+18 

96, J0251+2606, cck+16, 0.0025415543469461, 3, drc+21, 7.572E-21, 8, drc+21 
97, B0254-53, lvw69b, 0.4477084731988, 3, jbv+19, 3.129E-17, 3, jbv+19 
98, J0302+2252, ttol16, 1.207164839778, 2, mbc+20, 8.25E-17, 1, mbc+20 
99, B0301+19, fss73, 1.387584446262, 3, hlk+04, 1.295235E-15, 20, hlk+04 
100, J0307+7443, hrm+11, 0.003156088688500, 3, saa+23, 1.726E-20, 10, saa+23 

101, J0312-0921, trr+21, 0.0037043355330862, 3, saa+23, 1.9723E-20, 6, saa+23 
102, J0318+0253, wlz+18, 0.0051898521745201, 14, wlc+21, 1.762E-20, 3, wlc+21 
103, B0320+39, dth78, 3.032071956385, 10, hlk+04, 6.3562E-16, 7, hlk+04 
104, J0324+5239, bck+13, 0.336620230291, 3, bck+13, 0.381E-15, 3, bck+13 
105, J0325+6744, slr+14, 1.364678767282, 15, lsk+18, 1.553E-15, 10, lsk+18 

106, J0329+1654, lxf+05, 0.893319660649, 1, lxf+05, 0.21525E-15, 6, lxf+05 
107, B0329+54, cp68, 0.714519699726, 4, hlk+04, 2.048265E-15, 8, hlk+04 
108, B0331+45, dtws85, 0.26920054092953, 13, hlk+04, 7.3505E-18, 10, hlk+04 
109, J0335+6623, slr+14, 1.76193424742, 19, lsk+18, 4.81E-15, 10, lsk+18 
110, J0337+1715, rsa+14, 0.00273258863244, 9, rsa+14, 1.7666E-20, 9, rsa+14 

111, J0340+4130, wmg+22, 0.003299339366490734, 17, abb+18, 7.0470E-21, 12, abb+18 
112, J0343-3000, bjd+06, 2.59702715738, 9, bjd+06, 0.057E-15, 9, bjd+06 
113, B0339+53, dth78, 1.934478067294, 15, hlk+04, 1.342243E-14, 15, hlk+04 
114, J0344-0901, clh+20, 1.226005572598, 13, clh+20, 3.4708E-15, 16, clh+20 
115, J0348+0432, lbr+13, 0.0391226563571297, 16, cpb+23, 2.4128E-19, 11, cpb+23 

116, J0349+2340, scb+19, 2.42077097760, 4, mbc+20, 1.0995E-15, 7, mbc+20 
117, J0357+3205, aaa+09c, 0.4441044988, 6, rkp+11, 1.3037E-14, 20, rkp+11 
118, B0353+52, dtws85, 0.1970300980314, 3, hlk+04, 4.76594E-16, 3, hlk+04 
119, J0358+4155, slr+14, 0.2264843322519, 3, lsk+18, 1.4583E-16, 16, lsk+18 
120, B0355+54, mth72, 0.156384121559, 8, lwy+16, 4.39496E-15, 5, lwy+16 

121, J0358+6627, slr+14, 0.09150578075475, 17, lsk+18, 1.089E-17, 9, lsk+18 
122, J0359+5414, cwp+17, 0.0794272322920, 13, cwp+17, 1.673360E-14, 7, cwp+17 
123, B0403-76, mlt+78, 0.54525418661, 3, lbs+20, 1.54380E-15, 12, lbs+20 
124, J0402+4825, ccl+21, 0.512194448731, 3, ccl+21, 2.755E-16, 6, ccl+21 
125, J0405+3347, spp+23, 0.0639539494812, 17, spp+23, 1.64E-19, 13, spp+23 

126, B0402+61, dth78, 0.5945761650437, 8, ywml10, 5.57316E-15, 3, ywml10 
127, J0407+1607, lxf+05, 0.02570173919463, 2, lxf+05, 7.9E-20, 3, lxf+05 
128, B0410+69, dtws85, 0.3907150899386, 3, hlk+04, 7.6601E-17, 3, hlk+04 
129, J0418-4154, bcm+16, 0.757118945031, 12, lbs+20, 1.31944E-15, 4, lbs+20 
130, J0418+5732, vck+10, 9.07838822, 5, rip+13, 4.1E-15, 1, rip+13 

131, J0418+6635, trr+21, 0.00291018473, 9, saa+23, 1.3662E-20, 9, saa+23 
132, J0420-5022, hmz+04, 3.453004027, 12, kv11, 2.759E-14, 10, kv11 
133, J0421-0345, mld+96, 2.161308494552, 15, hlk+04, 1.16338E-15, 15, hlk+04 
134, J0421+3255, ttol16, 0.900105016, 1, tbc+20, 0.06E-15, 2, tbc+20 
135, J0426+4933, hrk+08, 0.922474730055, 2, bck+13, 39.3444E-15, 2, bck+13 

136, J0435+2749, rtj+96, 0.3262794534509, 14, bfrs18, 8.17E-18, 11, bfrs18 
137, J0437-4715, jlh+93, 0.005757451936712637, 17, rhc+16, 5.729215E-20, 17, rhc+16 
138, J0448-2749, lml+98, 0.4504483308563, 17, hlk+04, 1.48347E-16, 19, hlk+04 
139, J0449-7031, mfl+06, 0.479163971291, 14, mfl+06, 3.371E-15, 4, mfl+06 
140, B0447-12, mlt+78, 0.4380141493906, 8, hlk+04, 1.02649E-16, 6, hlk+04 

142, B0450-18, vlw69, 0.548939223294, 3, hlk+04, 5.753107E-15, 16, hlk+04 
143, J0453+1559, dsm+13, 0.0457818168729515, 33, msf+15, 1.8612E-19, 8, msf+15 
144, J0454+4529, mhl+18, 1.3891369360, 4, tbc+20, 4.888E-15, 2, tbc+20 
145, B0450+55, dth78, 0.340729436235, 10, hlk+04, 2.37227E-15, 7, hlk+04 

146, B0456-69, mmh+91, 0.320422711526, 12, ckm+01, 1.02119E-14, 15, ckm+01 
147, J0456-7031, mfl+06, 0.80013207321, 10, mfl+06, 36.70E-15, 3, mfl+06 
148, J0457-6337, mfl+06, 2.49701169613, 19, mfl+06, 0.21E-15, 3, mfl+06 
149, J0458-0505, lbr+13, 1.88347965849, 18, lbr+13, 5.3E-16, 15, lbr+13 
