---------------------------------------------------------------------------------------------------------------------------------------------
#, NAME, P0, P1, DIST, AGE, EDOT, EDOTD2
, (s), , (kpc), (Yr), (ergs/s), (ergs/kpc^2/s)
---------------------------------------------------------------------------------------------------------------------------------------------
79, J0214+5222, slr+14, 0.0245752947907, 3, slr+14, 2.99E-19, 10, slr+14, 1.161, 1.3e+09, 8.0e+32, 5.9e+32
80, J0215+6218, llc98, 0.548879819155, 3, hlk+04, 6.6212E-16, 3, hlk+04, 2.004, 1.31e+07, 1.6e+32, 3.9e+31

81, J0218+4232, nbf+95, 0.00232309053151224, 8, dcl+16, 7.73955E-20, 7, dcl+16, 3.150, 4.76e+08, 2.4e+35, 2.5e+34
82, J0227+3356, dcm+23, 1.240102460176, 4, dcm+23, 2.8515E-15, 11, dcm+23, 1.595, 6.89e+06, 5.9e+31, 2.3e+31
83, B0226+70, dtws85, 1.466820306152, 7, hlk+04, 3.10998E-15, 7, hlk+04, 1.755, 7.47e+06, 3.9e+31, 1.3e+31
84, J0248+4230, brj+21, 0.0026008347856317, 3, brj+21, 1.6873E-20, 5, brj+21, 1.853, 2.44e+09, 3.8e+34, 1.1e+34
85, J0248+6021, tpc+11, 0.217094, 5, tpc+11, 5.509E-14, 5, tpc+11, 2.000, 6.24e+04, 2.1e+35, 5.3e+34

86, J0250+5854, tbc+18, 23.5353784760, 10, tbc+18, 2.716E-14, 7, tbc+18, 1.558, 1.37e+07, 8.2e+28, 3.4e+28
87, J0251+2606, cck+16, 0.0025415543469461, 3, drc+21, 7.572E-21, 8, drc+21, 1.170, 5.32e+09, 1.8e+34, 1.3e+34
88, B0254-53, lvw69b, 0.4477084731988, 3, jbv+19, 3.129E-17, 3, jbv+19, 1.514, 2.27e+08, 1.4e+31, 6.0e+30
89, J0302+2252, ttol16, 1.207164839778, 2, mbc+20, 8.250E-17, 10, mbc+20, 1.014, 2.32e+08, 1.9e+30, 1.8e+30
90, B0301+19, fss73, 1.387584446262, 3, hlk+04, 1.295235E-15, 20, hlk+04, 0.739, 1.7e+07, 1.9e+31, 3.5e+31

91, J0307+7443, hrm+11, 0.003156088688500, 3, saa+23, 1.726E-20, 10, saa+23, 0.386, 2.9e+09, 2.2e+34, 1.5e+35
